电影名,点击数
1024分辨率/尼古拉斯·凯奇《女巫季节》BD中英双字无水印,170 
09最新喜剧大片《麻烦中的女人》DVD中英双字,14 
<font color='#0000FF'>经典战争大片《黑鹰坠落》BD-R中英双字（高清版）</font>,1176 
07最新恐怖喜剧片《吸血鬼公司》DVD中字,17 
精彩短片《超级无敌掌门狗：神奇太空衣》BD中字,49 
08高分新片《危险赌注》DVD中字,18 
1024分辨率《天空之城》BD中字无水印,266 
1024分辨率《午夜心跳》HD国语,20 
2016年国产奇幻动画片《马小乐之玩具也疯狂》HD国语中英双字,297 
2016年美国6.7分动作片《泰山归来：险战丛林》BD中英双字,10154 
08最新苏菲.玛索大片《超女特工》DVD中字,92 
1024分辨率《布赖顿硬糖/马场杀手》BD中英双字无水印,24 
08最新多明星喜剧大片《女人大作战》DVD中英双字（高清版）,8 
1024分辨率《野兽男孩/野兽情人》BD中英双字无水印,82 
<font color='#FF0000'>07最新爆笑大片《恋爱高手租进我家》DVD中字</font>,19 
2012最新喜剧《狂奔蚂蚁》720p.HD国语中字,26 
精彩科幻恐怖大片《黑暗城市》DVD中字,34 
1024分辨率/奥斯卡多奖项《国王的演讲》BD中英双字无水印,430 
1024分辨率《决战新世界加长版》BD中英双字,427 
1024分辨率《猫和老鼠：绿野仙踪》BD中英双字,235 
08最新科幻大片《20世纪少年：第一部》DVD中字,163 
08喜剧新片《超级幼兽》DVD中字,117 
1024分辨率《我希望在地狱里仍有酒喝》BD中英双字无水印,15 
2012年喜剧《亚子的秘密/甜蜜小天使》720p.BD中字,164 
<font color='#FF0000'>07最新成龙大片《尖峰时刻3》TC-R中字</font>,57 
2016年国产恐怖片《诡新娘》HD国语中字,1223 
1024分辨率《冥河世界 2010版》BD中英双字无水印,47 
2014年美国喜剧恐怖片《长牙/人形海象》BD中英双字,3955 
06美国最新爆笑爱情喜剧大片《老友有钱》DVD中字,17 
2012年动作《外国佬/边境大逃杀》720p.BD中英双字幕,207 
08最新大片《小布什传》DVD中英双字幕,3 
2002年杰森斯坦森动作片《非常人贩》BD国英双语双字,4523 
经典迪斯尼大片再现《米奇圣诞笑哈哈》DVD中字,74 
1024分辨率《英雄》BD国语中字无水印,372 
2016年美国8.5分科幻动作片《美国队长3》DVD中英双字,6546 
<font color='#0000FF'>4.5亿票房科幻大片《X战警3:最后之战》DVD中英双字幕</font>,2680 
1024分辨率《三月三/剑侠传奇》BD国语中字无水印,6 
1024分辨率《拯救生命/青春危机》BD中英双字无水印,14 
2012年最新《远大前程/孤星血泪》720p.BD中英双字幕,304 
<font color='#0000FF'>经典恐怖大片《捉鬼小精灵》DVD中英双字幕</font>,13 
1024分辨率《峨眉山》BD国语中字无水印,28 
美女复仇动作大片《复仇女杀手》DVD中字,16 
1024分辨率《斑马人2：斑马城的反攻》BD中字,55 
1024分辨率《利欲两心/豪赌师徒》BD中英双字无水印,151 
2009手机电影《重庆美女》3gp+mp4国语,12 
2014年CCTV1纪录片《枪》HD精编全五集,3362 
1024分辨率《最后的舞者/舞遍全球》BD中英双字无水印,28 
1024分辨率《在云端/悬而未决》BD中英双字无水印,281 
最狂暴恐怖经典火爆大片《触目惊森》DVD中字,26 
08最新动作大片《拳霸2》DVD中文字幕版,29 
1974年儿童战争片《闪闪的红星》BD国语无字,931 
2015年美国动画片《摩登原始人：石器时代大乱斗》BD中英双字,136 
